Price,Open,High,Low,Close,Volume,Difference
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,
Date,,,,,,
2020-01-01,618.1843417505002,622.3896774086668,616.1237170110657,619.7402954101562,2112415,
2020-01-02,621.4645602966463,623.062557139031,614.7360228516574,617.9320678710938,5658200,-1.8082275390625
2020-01-03,617.2592041731061,629.1182304975495,617.2592041731061,627.4360961914062,7882938,9.5040283203125
2020-01-06,627.5200993341153,633.9963258227109,619.4458762669432,621.42236328125,6519403,-6.01373291015625
2020-01-07,620.7074639310664,624.576351708969,609.8576787837743,612.2127075195312,7899363,-9.20965576171875
2020-01-08,609.731646677913,613.1379584021026,595.7278579583198,604.054443359375,8639443,-8.15826416015625
2020-01-09,606.9981736921635,615.240621512479,600.7742562352731,611.9183959960938,13521186,7.86395263671875
2020-01-10,622.7681231962308,624.8287477877989,614.3994955700625,620.8336791992188,9341405,8.915283203125
2020-01-13,639.2110932729718,653.9297697628099,635.0057571330179,650.6075439453125,36952038,29.77386474609375
2020-01-14,647.5795649263063,653.4670340900385,645.2666306119829,652.3736572265625,11414418,1.76611328125
2020-01-15,650.8598090964978,650.8598090964978,641.0193642733277,645.5610961914062,6047430,-6.81256103515625
2020-01-16,648.2104081668134,649.7243186423489,639.4212469227776,645.0984497070312,5740586,-0.462646484375
2020-01-17,648.2105490598905,650.0609073031379,641.10352042939,645.8134765625,3762957,0.71502685546875
2020-01-20,648.9674461755833,651.3224754584385,641.6922455261039,646.318115234375,3887680,0.504638671875
2020-01-21,646.318142170911,648.042319776191,639.8419140424884,641.3137817382812,4448374,-5.00433349609375
2020-01-22,646.3179886109423,654.3501687183814,644.257364059486,647.7898559570312,9733935,6.47607421875
2020-01-23,653.5932423472493,660.6582267315861,653.2568462980249,659.6909790039062,12528017,11.901123046875
2020-01-24,652.4578061489128,661.4992775199742,650.6494913408358,658.3452758789062,7540490,-1.345703125
2020-01-27,655.2333502280002,660.0694863204792,651.3224187974897,654.434326171875,3741610,-3.91094970703125
